Selection,title,abstract,author,journal,Issue type,year,doi,keywords,justification
non pertinent,Prediction of Rut Depth in Soil Caused by Wheels Using Artificial Neural Networks,Non disponible,Nashmil F.,  Journal of Agricultural Machinery  ,,2025,https://doi.org/10.22067/jam.2024.90273.1295,,"❌ Titre: L'article traite du sol/agriculture, pas des modèles ML"
non pertinent,Evaluating the sensitivity of the landslide event using the support vector machine algorithm,Non disponible,Rostamizad G.,  Water and Soil Management and Modeling  ,,2024,https://doi.org/10.22098/mmws.2023.13934.1379,,"❌ Titre: L'article traite des glissements de terrain, pas des modèles ML"
pertinent,Coupling simulation-based and machine learning methodologies for energy optimization and environmental impact mitigation in buildings,Non disponible,"G. Mihalakakou, Athanasios Giannadakis, Sonia Malefaki, Manolis Souliotis, Pantazis Georgiou, Alexandros Romeos, Anastasia Antzoulatou, Pantelis G. Nikolakopoulos, John A. Paravantis",Journal of Building Engineering,,2025,https://doi.org/10.1016/j.jobe.2025.113809,"Coupling (piping), Energy (signal processing), Environmental impact assessment, Computer science, Architectural engineering",Prêt pour analyse de l'article
pertinent,单/双目深度估计研究进展与应用综述(特邀),Non disponible,"胡海洋 HU Haiyang, 陈超平 CHEN Chaoping, 高天沐 GAO Tianmu, 韩宝恩 HAN Baoen, 杨云帆 YANG Yunfan, 刘毅 LIU Yi, 武小军 WU Xiaojun",Infrared and Laser Engineering,,2025,https://doi.org/10.3788/IRLA20250157,Non disponible,Prêt pour analyse de l'article
non pertinent,Deep-Learning-Based Resource Allocation for Transmit Power Minimization in Uplink NOMA IoT Cellular Networks,"For Internet of Things (IoT) networks, it is important to develop energy-efficient communication schemes to extend the operating life of battery-powered IoT devices. Additionally, non-orthogonal multiple access (NOMA) can utilize frequency resources more efficiently than orthogonal multiple access, making it more suitable to support massive connectivity of IoT users. Motivated by these facts, we consider uplink NOMA IoT cellular networks and develop two novel algorithms that jointly optimize sub...","Hyun Jung Park, Hyeon Woong Kim, Sung Ho Chae",IEEE Transactions on Cognitive Communications and Networking,,2023,https://doi.org/10.1109/TCCN.2023.3254515,"Computer science, Transmitter power output, Telecommunications link, Power control, Resource allocation","❌ Titre: L'article traite de l'IoT en général, pas de l'efficacité des modèles ML"
non pertinent,E<sup>3</sup>-UAV: An Edge-Based Energy-Efficient Object Detection System for Unmanned Aerial Vehicles,"Motivated by the advances in deep learning techniques, the application of\nUnmanned Aerial Vehicle (UAV)-based object detection has proliferated across a\nrange of fields, including vehicle counting, fire detection, and city\nmonitoring. While most existing research studies only a subset of the\nchallenges inherent to UAV-based object detection, there are few studies that\nbalance various aspects to design a practical system for energy consumption\nreduction. In response, we present the E$^3$-UA...","Jiashun Suo, Xingzhou Zhang, Weisong Shi, Wei Zhou",IEEE Internet of Things Journal,,2023,https://doi.org/10.1109/JIOT.2023.3301623,"Energy consumption, Computer science, Object detection, Real-time computing, Energy (signal processing)","❌ Titre: L'article traite des drones (UAV), pas de l'efficacité des modèles ML"
non pertinent,The Role of Artificial Intelligence and Knowledge in Enhancing Corporate Sustainability,"Purpose: This study explores the potential of artificial intelligence (AI) in advancing sustainability within business practices. It focuses on three key areas: optimising energy efficiency, developing sustainable products and services, and improving waste and resource management. By integrating AI into these domains, companies can achieve significant advancements in operational efficiency, market competitiveness, and environmental responsibility. Findings: Optimisation of Energy EfficiencyAI-po...","José Andrés Gómez Gandía, Antonio de Lucas Ancillo",Journal of Innovation & Knowledge,,2025,https://doi.org/10.1016/j.jik.2025.100792,"Sustainability, Corporate sustainability, Business, Knowledge management, Psychology","⚠️ Titre: Pas d'indicateur clair de Green AI, analyse de l'abstract nécessaire"
pertinent,A nonlinear interactive grey multivariable model based on dynamic compensation for forecasting the economy-energy-environment system,Non disponible,"Ye Li, Yaoguo Dang, Liping Fang, Junjie Wang",Applied Energy,,2022,https://doi.org/10.1016/j.apenergy.2022.120189,"Multivariable calculus, Benchmark (surveying), Generalizability theory, Nonlinear system, Compensation (psychology)",Prêt pour analyse de l'article
pertinent,Electricity peak shaving for commercial buildings using machine learning and vehicle to building (V2B) system,Non disponible,"Mahdi Ghafoori, Moatassem Abdallah, Seo Young Kim",Applied Energy,,2023,https://doi.org/10.1016/j.apenergy.2023.121052,"Schedule, Electricity, Computer science, Peak demand, Automotive engineering",Prêt pour analyse de l'article
non pertinent,An FPGA Prototype for Parkinson’s Disease Detection Using Machine Learning on Voice Signal,"Parkinson&#x2019;s disease (PD) is a chronic neurological disorder caused by a reduction in dopamine levels in the brain. Early diagnosis is crucial for effective treatment. This paper proposes an efficient machine learning model for PD detection using voice-based features, which offer a non-invasive, cost-effective, and accessible alternative to complex imaging methods. To enhance classification performance and reduce computational complexity, we evaluate three feature selection algorithms &#x2...","Mujeev Khan, Abdul Moiz, Gani Nawaz Khan, Mohd Wajid, Mohammed Usman, Jabir Ali",IEEE Access,,2025,https://doi.org/10.1109/ACCESS.2025.3572092,"Field-programmable gate array, Computer science, Speech recognition, Parkinson's disease, SIGNAL (programming language)","❌ Titre: L'article traite de la maladie de Parkinson, pas des modèles ML"
pertinent,Transient modeling and data-driven optimization of a hybrid geothermal–solar energy system for eco-friendly multigeneration: A case study approach to sustainable urban development,Non disponible,"Marwa Ben Slimene, Mohamed Arbi Khlifi, Naglaa F. Soliman, Haitham Osman, Abdelfattah Amari, S. S. Sabirov, Alisher Mavlonov, Lola Safarova",Process Safety and Environmental Protection,,2025,https://doi.org/10.1016/j.psep.2025.107717,"Environmentally friendly, Geothermal gradient, Sustainable development, Transient (computer programming), Geothermal energy",Prêt pour analyse de l'article
pertinent,Data-Driven Vehicle Specification of Conventional and Electric Heavy-Duty Commercial Trucks for Improved Energy Consumption,"&lt;div&gt;In the heavy-duty commercial trucks sector, selecting the most energy-efficient vehicle can enable great reductions of the fleet operating costs associated with energy consumption and emissions. Customization and selection of the vehicle design among all possible options, also known as “vehicle specification,” can be formulated as a design space exploration problem where the objective is to find the optimal vehicle configuration in terms of minimum energy consumption for an intended a...","Manfredi Villani, Alfonso Pandolfi, Qadeer Ahmed, Cesare Pianese",SAE International journal of commercial vehicles,,2025,https://doi.org/10.4271/02-18-03-0018,"Truck, Heavy duty, Automotive engineering, Energy consumption, Consumption (sociology)",Prêt pour analyse de l'article
non pertinent,"Integrating BIM, Machine Learning, and PMBOK for Green Project Management in Saudi Arabia: A Framework for Energy Efficiency and Environmental Impact Reduction","This study introduces a comprehensive framework combining building information modeling (BIM), project management body of knowledge (PMBOK), and machine learning (ML) to optimize energy efficiency and reduce environmental impacts in Riyadh’s construction sector. The suggested methodology utilizes BIM for dynamic energy simulations and design visualization, PMBOK for integrating sustainability into project-management processes, and ML for predictive modeling and real-time energy optimization. Imp...","Maher Abuhussain, Ali Hussain Alhamami, Khaled Almazam, Omar Humaidan, Faizah Mohammed Bashir, Yakubu Aminu Dodo",Buildings,,2025,https://doi.org/10.3390/buildings15173031,"Engineering management, Engineering, Project management, Systems engineering, Reduction (mathematics)","⚠️ Titre: Pas d'indicateur clair de Green AI, analyse de l'abstract nécessaire"
pertinent,Energy-Efficient Computing With Probabilistic Magnetic Bits—Performance Modeling and Comparison Against Probabilistic CMOS Logic,"This paper focuses on the design, performance modeling, and evaluation of probabilistic logic using superparamagnetic nanomagnets for which there exists a strong interplay between deterministic dynamics and intrinsic thermal noise. The switching element in the spin domain is chosen as the giant spin-Hall effect (GSHE) device that operates based on the dipolar coupling phenomenon in a two-magnet system to achieve low-energy (≈ 1.3 fJ/b) and low-power (≈ 0.5 μW) switching characteristics. The use ...","Nikhil Rangarajan, Arun Parthasarathy, Nickvash Kani, Shaloo Rakheja",IEEE Transactions on Magnetics,,2017,https://doi.org/10.1109/TMAG.2017.2696041,"Nanomagnet, Probabilistic logic, Computer science, Physics, Monte Carlo method",Prêt pour analyse de l'article
non pertinent,Deep transfer learning for sustainable waste management: Real-time waste segregation apparatus using a two-phase CNN framework,Non disponible,"Natheer Almtireen, Abdelrazzaq Ahmad Abuhejleh, Mutaz Ryalat, Hisham ElMoaqet, Ghaith Al-refai",The Journal of Supercomputing,,2025,https://doi.org/10.1007/s11227-025-07931-2,Non disponible,"❌ Titre: L'article traite de la gestion des déchets, pas des modèles ML"
non pertinent,A data-driven approach to assess the impact of road infrastructure on platoon cohesion and CO <sub>2</sub> emissions,Non disponible,"Natalia Selini Hadjidimitriou, Alberto Compagnoni, Marco Picone, Marco Mamei, Ralf Willenbrock",Journal of Intelligent Transportation Systems,,2025,https://doi.org/10.1080/15472450.2025.2584220,Non disponible,"❌ Titre: L'article traite des convois de véhicules, pas des modèles ML"
pertinent,Optimization of the design of the primary school classrooms in terms of energy and daylight performance considering occupants’ thermal and visual comfort,"One of the top priorities in the building design process is minimizing energy consumption. Moreover, the level of occupants' comfort directly affects their learning ability Therefore, this paper uses a multi-objective approach to optimize the architectural design features, including some newly examined ones, that define the geometry of a classroom. Furthermore, to create a practical methodology for minimizing lighting energy demand, we put the technique of dividing the class into independent, co...","Parnian Bakmohammadi, Esmatullah Noorzai",Energy Reports,,2020,https://doi.org/10.1016/j.egyr.2020.06.008,"Thermal comfort, Daylight, Architectural engineering, Daylighting, Energy consumption",Prêt pour analyse de l'article
pertinent,Optimizing the thermostat setting points of residential and insulated buildings in the direction of economic efficiency and thermal comfort through advanced multi-purpose techniques,Non disponible,"Peng He, Ali B.M. Ali, Zahraa Abed Hussein, Narinderjit Singh Sawaran Singh, Pardeep Singh Bains, Shaxnoza Saydaxmetova, Mohammadreza Baghoolizadeh, Soheil Salahshour, As’ad Alizadeh",Energy and Buildings,,2025,https://doi.org/10.1016/j.enbuild.2025.115428,"Thermostat, Thermal comfort, Architectural engineering, Thermal, Environmental science",Prêt pour analyse de l'article
pertinent,Full analysis and deep learning optimization of a sustainable and eco-friendly power plant to generate green hydrogen and electricity; A zero-carbon approach,Non disponible,"Poorya Asadbagi, Adib Mahmoodi Nasrabadi, Carrie M. Hall",Process Safety and Environmental Protection,,2024,https://doi.org/10.1016/j.psep.2024.07.029,"Environmentally friendly, Electricity, Environmental economics, Zero (linguistics), Power (physics)",Prêt pour analyse de l'article
non pertinent,Exploring influential parameters affecting residential building energy use: advancing energy efficiency through machine learning,Non disponible,"P. Chaturvedi, Nand Kumar, Jørn Toftum, Rune Korsholm Andersen, Ravita Lamba, Kedar Mehta",Clean Technologies and Environmental Policy,,2025,https://doi.org/10.1007/s10098-025-03301-x,"Industrial and production engineering, Energy (signal processing), Sustainable energy, Efficient energy use, Sustainable development","❌ Titre: L'article traite de l'efficacité énergétique des bâtiments, pas des modèles ML"
non pertinent,Uncertainty-Aware Deep Reinforcement Learning for Trainable Equivalent Consumption Minimization Strategy of Fuel Cell Hybrid Electric Tracked Vehicle,Non disponible,"Qicong Su, Ruchen Huang, Zhendong Zhang, Yiwen Shou, Hongwen He",IEEE Transactions on Transportation Electrification,,2025,https://doi.org/10.1109/TTE.2025.3563203,"Reinforcement learning, Minification, Fuel efficiency, Computer science, Artificial intelligence","❌ Titre: L'article traite des piles à combustible, pas des modèles ML"
non pertinent,An adaptive federated learning system for community building energy load forecasting and anomaly prediction,Non disponible,"Rui Wang, Hongguang Yun, Rakiba Rayhana, Junchi Bin, Chengkai Zhang, Omar E. Herrera, Zheng Liu, Walter Mérida",Energy and Buildings,,2023,https://doi.org/10.1016/j.enbuild.2023.113215,"Computer science, Anomaly detection, Big data, Machine learning, Data mining","❌ Titre: L'article traite de l'efficacité énergétique des bâtiments, pas des modèles ML"
non pertinent,IoT-based smart healthcare using efficient data gathering and data analysis,Non disponible,"Raja Basha Adam Sahib, R. Bhavani",Peer-to-Peer Networking and Applications,,2024,https://doi.org/10.1007/s12083-024-01823-7,"Computer science, Data collection, Wearable computer, Health care, Energy consumption","❌ Titre: L'article traite de la santé, pas de l'efficacité des modèles ML"
pertinent,Data Driven Energy Economy Prediction for Electric City Buses Using Machine Learning,"Electrification of transportation systems is increasing, in particular city buses raise enormous potential. Deep understanding of real-world driving data is essential for vehicle design and fleet operation. Various technological aspects must be considered to run alternative powertrains efficiently. Uncertainty about energy demand results in conservative design which implies inefficiency and high costs. Both, industry, and academia miss analytical solutions to solve this problem due to complexity...","Roman Michael Sennefelder, Rubén Martı́n-Clemente, R.G. Carvajal, Dimitar Trifonov",IEEE Access,,2023,https://doi.org/10.1109/ACCESS.2023.3311895,"Electrification, Computer science, Powertrain, Robustness (evolution), Public transport",Prêt pour analyse de l'article
non pertinent,Optimization of Solar Panel Orientation for Maximum Energy Efficiency,"This report details the findings of a research that was conducted with the purpose of establishing where exactly solar panels should be positioned in order to make the most of their potential to convert sunlight into usable electrical power. The angle at which solar panels are positioned relative to the sun is one of the most important determinants of the amount of energy they produce; hence, maximizing this characteristic has the potential to considerably boost energy efficiency. For the purpos...","S. Selvi, M. Mohanraj, P. Duraipandy, S. Kaliappan, L. Natrayan, Nadanakumar Vinayagam",2023 4th International Conference on Smart Electronics and Communication (ICOSEC),,2023,https://doi.org/10.1109/ICOSEC58147.2023.10276287,"Sunlight, Solar energy, USable, Photovoltaic system, Orientation (vector space)","❌ Titre: L'article traite des panneaux solaires, pas des modèles ML"
non pertinent,IoT Security: Botnet Detection Using Self-Organizing Feature Map and Machine Learning,"The rapid advancement of Internet of Things (IoT) technology has created potential for progress in various aspects of life. However, the increasing number of IoT devices also raises the risk of cyberattacks, particularly IoT botnets often exploited by attackers. This is largely due to the limitations of IoT devices, such as constraints in capacity, power, and memory, necessitating an efficient detection system. This study aims to develop a resource-efficient botnet detection system by using the ...","Susanto Susanto, Deris Stiawan, Budi Santoso, Alex Onesimus Sidabutar, M. Agus Syamsul Arifin, Mohd. Yazid Idris, Rahmat Budiarto",Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),,2024,https://doi.org/10.29207/resti.v8i6.5871,"Botnet, Computer science, Feature (linguistics), Artificial intelligence, Internet of Things","❌ Titre: L'article traite de la sécurité/botnets, pas de l'efficacité des modèles ML"
pertinent,Optimizing the sustainable performance of public buildings: A hybrid machine learning algorithm,Non disponible,"Wen Xu, Xianguo Wu, Shishu Xiong, Tiejun Li, Yang Liu",Energy,,2025,https://doi.org/10.1016/j.energy.2025.135283,"Computer science, Algorithm, Machine learning, Engineering, Artificial intelligence",Prêt pour analyse de l'article
non pertinent,Augmented Deep Reinforcement Learning for Online Energy Minimization of Wireless Powered Mobile Edge Computing,"Mobile edge computing (MEC) offers an opportunity for devices relying on wireless power transfer (WPT), to accomplish computationally demanding tasks. Such WPT-powered MEC systems have yet to be optimized for long-term efficiency, due to random and changing task demands and wireless channel states of the devices. This paper presents an augmented two-staged deep Q-network (DQN), referred to as ""TS-DQN,"" for online optimization of WPT-powered MEC systems, where the WPT, offloading schedule, channe...","Xiaojing Chen, Weiheng Dai, Wei Ni, Xin Wang, Shunqing Zhang, Shugong Xu, Yanzan Sun",IEEE Transactions on Communications,,2023,https://doi.org/10.1109/TCOMM.2023.3251353,"Computer science, Reinforcement learning, Mobile edge computing, Wireless, Schedule","❌ Titre: L'article traite de l'alimentation sans fil, pas de l'efficacité des modèles ML"
non pertinent,Designing energy-efficient buildings in urban centers through machine learning and enhanced clean water managements,Non disponible,"Ximo Chen, Zhaojuan Zhang, Azher M. Abed, Luning Lin, Haqi Zhang, José Escorcia‐Gutierrez, Ahmed Ali A. Shohan, Elimam Ali, Huiting Xu, Hamid Assilzadeh, Lei Zhen",Environmental Research,,2024,https://doi.org/10.1016/j.envres.2024.119526,"Rainwater harvesting, Sustainability, Energy consumption, Support vector machine, Computer science","❌ Titre: L'article traite de la gestion de l'eau, pas des modèles ML"
non pertinent,Deep Learning-Based Building Energy Optimization Using BIM Data &amp; Evaluating Energy Savings Potential,Non disponible,"Yogesh Rajput, Sonali Gaikwad, Jyotsna Gaikwad",Lecture notes in networks and systems,,2025,https://doi.org/10.1007/978-981-96-4136-9_23,Non disponible,"❌ Titre: L'article traite de l'efficacité énergétique des bâtiments, pas des modèles ML"
non pertinent,Energy-Efficient Transmission Scheduling in Mobile Phones using Machine Learning and Participatory Sensing,"Energy efficiency is important for smartphones because they are powered by batteries with limited capacity. Existing work has shown that the tail energy of the third-generation (3G)/fourth-generation (4G) network interface on a mobile device would lead to low energy efficiency. To solve the tail energy minimization problem, some online scheduling algorithms have been proposed, but with a big gap from the offline algorithms that work depending on the knowledge of future transmissions. In this pap...","Zaiyang Tang, Song Guo, Li Peng, Toshiaki Miyazhaki, Hai Jin, Xiaofei Liao",IEEE Transactions on Vehicular Technology,,2014,https://doi.org/10.1109/TVT.2014.2350510,"Computer science, Efficient energy use, Scheduling (production processes), Mobile device, Minification","❌ Titre: L'article traite des téléphones mobiles, pas de l'efficacité des modèles ML"
non pertinent,A Data-Driven Approach for Improving Energy Efficiency in a Semiconductor Manufacturing Plant,"The semiconductor industry faces increasing pressure to improve energy efficiency while maintaining competitiveness and sustainability. Apart from more conventional energy efficiency measures look at equipment modernization and process and design optimization, this paper explores the potential of data-driven approaches to address these challenges and optimize energy consumption across both the facility and manufacturing space of a semiconductor manufacture plant. By harnessing advanced analytics...","Zhao Hong, Chee Peng Yong, Kosasih Lucky, Gang Rong, Wang Joheng",IEEE Transactions on Semiconductor Manufacturing,,2024,https://doi.org/10.1109/TSM.2024.3483781,"Semiconductor device fabrication, Manufacturing engineering, Efficient energy use, Engineering, Computer science","❌ Titre: L'article traite de la fabrication de semi-conducteurs, pas des modèles ML"
